# x (m),channel 1, channel 2
-5.318545697131421210e-04,7.737342175420587331e-01,7.715004746953526560e-01
-5.308539026017345319e-04,7.747178173317225136e-01,7.724848628022723540e-01
-5.298532354903269428e-04,7.756899211671922645e-01,7.734499559636559551e-01
-5.288525683789193537e-04,7.766364040733795271e-01,7.744192600403366766e-01
-5.278519012675117646e-04,7.775912001498271886e-01,7.753594029036225965e-01
-5.268512341561040670e-04,7.785262316381681424e-01,7.763014189891989103e-01
-5.258505670446964779e-04,7.794445520958775964e-01,7.772165529130372619e-01
-5.248498999332888888e-04,7.803519625348755984e-01,7.781408617864250532e-01
-5.238492328218812997e-04,7.812604691415450109e-01,7.790621471547171106e-01
-5.228485657104737106e-04,7.821825039978906879e-01,7.799810274580425418e-01
-5.218478985990660131e-04,7.830970579311793411e-01,7.809009844297912784e-01
-5.208472314876585324e-04,7.839943248045831981e-01,7.818101808114782392e-01
-5.198465643762508349e-04,7.848718975653661278e-01,7.827101646005230062e-01
-5.188458972648432458e-04,7.857452881534541245e-01,7.836276304469136367e-01
-5.178452301534356567e-04,7.866161100300852471e-01,7.845415918759189866e-01
-5.168445630420280676e-04,7.874758909237190574e-01,7.854600368525780363e-01
-5.158438959306204784e-04,7.883314799653902138e-01,7.863814370262185438e-01
-5.148432288192127809e-04,7.891932559118057799e-01,7.872693510027124475e-01
-5.138425617078053002e-04,7.900445171178498427e-01,7.881720070888400542e-01
-5.128418945963976027e-04,7.909173221535182874e-01,7.890801623105777596e-01
-5.118412274849900136e-04,7.917936503502578383e-01,7.899749502353905495e-01
-5.108405603735824245e-04,7.926704729843525588e-01,7.908638826860118209e-01
-5.098398932621748354e-04,7.935271617749323214e-01,7.917275373092043100e-01
-5.088392261507672463e-04,7.943729008702298255e-01,7.925853804217648513e-01
-5.078385590393595488e-04,7.951947422801635135e-01,7.934149214123357163e-01
-5.068378919279520681e-04,7.959949646953592417e-01,7.942275711411849182e-01
-5.058372248165443705e-04,7.967954474914049623e-01,7.950527995509761858e-01
-5.048365577051367814e-04,7.975963086871240559e-01,7.958648559299745795e-01
-5.038358905937291923e-04,7.984031729282851098e-01,7.966676453879706354e-01
-5.028352234823216032e-04,7.992232390929416841e-01,7.974749345996094974e-01
-5.018345563709140141e-04,8.000321839535241564e-01,7.982815381069449101e-01
-5.008338892595063166e-04,8.008382499472607163e-01,7.990727286083800784e-01
-4.998332221480988359e-04,8.016309850484045763e-01,7.998654532671329864e-01
-4.988325550366911384e-04,8.024083646663324743e-01,8.006646090624097711e-01
-4.978318879252835493e-04,8.031500126319319754e-01,8.014761138837461774e-01
-4.968312208138759602e-04,8.038915397702828258e-01,8.022674499866707665e-01
-4.958305537024683711e-04,8.046361448930475779e-01,8.030437007784853032e-01
-4.948298865910607820e-04,8.053887301240106877e-01,8.038282111440797628e-01
-4.938292194796530844e-04,8.061692054034679256e-01,8.045994565612862859e-01
-4.928285523682456037e-04,8.069652556529119947e-01,8.054006893397380740e-01
-4.918278852568379062e-04,8.077661974949377210e-01,8.061800054129342197e-01
-4.908272181454303171e-04,8.085336456090623791e-01,8.069750544841975959e-01
-4.898265510340227280e-04,8.093126892093055469e-01,8.077666668912079073e-01
-4.888258839226151389e-04,8.100971310150459903e-01,8.085466108959677989e-01
-4.878252168112074956e-04,8.108773701547627999e-01,8.093329596277732962e-01
-4.868245496997999065e-04,8.116569513931822799e-01,8.101192633630376339e-01
-4.858238825883923174e-04,8.124555358277969486e-01,8.108999116100449323e-01
-4.848232154769846741e-04,8.132679256230934683e-01,8.116559232207267716e-01
-4.838225483655770849e-04,8.140825365314877660e-01,8.124282613328493996e-01
-4.828218812541694958e-04,8.149130057698149576e-01,8.132056074624622877e-01
-4.818212141427618525e-04,8.157578197383275054e-01,8.139758943778253597e-01
-4.808205470313542634e-04,8.166129006026261461e-01,8.147417263691700828e-01
-4.798198799199466743e-04,8.174218716985095501e-01,8.155023752773088441e-01
-4.788192128085390852e-04,8.181898630840485076e-01,8.162500355316587575e-01
-4.778185456971314419e-04,8.189132342630597305e-01,8.169721190353551599e-01
-4.768178785857238528e-04,8.196193353070728715e-01,8.176760126863149569e-01
-4.758172114743162637e-04,8.203136064519748194e-01,8.183837359231456166e-01
-4.748165443629086204e-04,8.210215996438741115e-01,8.191152322946847475e-01
-4.738158772515010313e-04,8.217573750082070028e-01,8.198230558005281665e-01
-4.728152101400934421e-04,8.225056379479110946e-01,8.205374634106767928e-01
-4.718145430286858530e-04,8.232610308945325084e-01,8.212594493618917690e-01
-4.708138759172782097e-04,8.240275928986294796e-01,8.219777419466035573e-01
-4.698132088058706206e-04,8.247840686824619016e-01,8.226741283228764523e-01
-4.688125416944630315e-04,8.255349882926635852e-01,8.233884269125651967e-01
-4.678118745830553882e-04,8.262796941293626407e-01,8.240851384424966453e-01
-4.668112074716477991e-04,8.269937701162350940e-01,8.247617460522145283e-01
-4.658105403602402100e-04,8.276609157417558205e-01,8.254405010795941022e-01
-4.648098732488326209e-04,8.283077447196426357e-01,8.260993237956346658e-01
-4.638092061374249776e-04,8.289480385625787040e-01,8.267510249265039857e-01
-4.628085390260173885e-04,8.295999507639080228e-01,8.273998943470755041e-01
-4.618078719146097993e-04,8.302835775890161640e-01,8.280369269556644429e-01
-4.608072048032021560e-04,8.309729938681567063e-01,8.286651952625413431e-01
-4.598065376917945669e-04,8.316722347786145164e-01,8.293267779526359851e-01
-4.588058705803869778e-04,8.323785677336963396e-01,8.299787171284610521e-01
-4.578052034689793345e-04,8.330732599983757813e-01,8.306283976710290284e-01
-4.568045363575717454e-04,8.337629888920750076e-01,8.312590808177438007e-01
-4.558038692461641563e-04,8.344467556922551266e-01,8.318980199260584962e-01
-4.548032021347565672e-04,8.351253056017249321e-01,8.325297764589550953e-01
-4.538025350233489239e-04,8.357692381421365502e-01,8.331484792488064173e-01
-4.528018679119413348e-04,8.364147001976522944e-01,8.337621594799562441e-01
-4.518012008005337457e-04,8.370605928368187731e-01,8.343576794793923224e-01
-4.508005336891261023e-04,8.376813724403476824e-01,8.349528461269386526e-01
-4.497998665777185132e-04,8.383147041923014742e-01,8.355488993089348337e-01
-4.487991994663109241e-04,8.389736816358008831e-01,8.361484894422861469e-01
-4.477985323549033350e-04,8.396528411577918183e-01,8.367574962425541329e-01
-4.467978652434956917e-04,8.403317994497966348e-01,8.373615848365740799e-01
-4.457971981320881026e-04,8.409793403913912169e-01,8.379432261861503584e-01
-4.447965310206805135e-04,8.416327449286115092e-01,8.385447889440823532e-01
-4.437958639092728702e-04,8.422921840134394156e-01,8.391297329004513417e-01
-4.427951967978652811e-04,8.429542254742591334e-01,8.397219222571677966e-01
-4.417945296864576920e-04,8.436243848688910196e-01,8.403289806465885636e-01
-4.407938625750500486e-04,8.442980932154184881e-01,8.409325169238057729e-01
-4.397931954636424595e-04,8.449780307697853932e-01,8.415573907395986764e-01
-4.387925283522348704e-04,8.456591975173242126e-01,8.421753618444318690e-01
-4.377918612408272813e-04,8.463700411844138349e-01,8.427946251223409346e-01
-4.367911941294196380e-04,8.470754311594780317e-01,8.434027564996863235e-01
-4.357905270180120489e-04,8.477825410127802774e-01,8.440155715880626186e-01
-4.347898599066044598e-04,8.484897586384390067e-01,8.446325653813345768e-01
-4.337891927951968165e-04,8.491903676448281368e-01,8.452487953511034213e-01
-4.327885256837892274e-04,8.498673141255812524e-01,8.458758341243973744e-01
-4.317878585723816383e-04,8.505151708415238376e-01,8.464652986521536970e-01
-4.307871914609740492e-04,8.511441367198654406e-01,8.470780268061390839e-01
-4.297865243495664058e-04,8.517645032482288325e-01,8.476775073137107208e-01
-4.287858572381588167e-04,8.523950950097065604e-01,8.482835308482719050e-01
-4.277851901267512276e-04,8.530475677721801597e-01,8.489047352529388579e-01
-4.267845230153435843e-04,8.537063329287595259e-01,8.495245592163377379e-01
-4.257838559039359952e-04,8.543926756629629526e-01,8.501689055406520534e-01
-4.247831887925284061e-04,8.550940674267627495e-01,8.508375062653801280e-01
-4.237825216811207628e-04,8.558031804272013821e-01,8.514954898248234816e-01
-4.227818545697131737e-04,8.565225000921486975e-01,8.521762448893009934e-01
-4.217811874583055846e-04,8.572657735968797210e-01,8.528691070477503189e-01
-4.207805203468979955e-04,8.580068100144333521e-01,8.535506359132553067e-01
-4.197798532354903522e-04,8.587580304227061534e-01,8.542418082013628622e-01
-4.187791861240827630e-04,8.595047844577489160e-01,8.549417802163670199e-01
-4.177785190126751739e-04,8.602520930264513366e-01,8.556426357992502618e-01
-4.167778519012675306e-04,8.609947764064913578e-01,8.563451890393926069e-01
-4.157771847898599415e-04,8.617290606305020306e-01,8.570292814105675561e-01
-4.147765176784523524e-04,8.624520951102128130e-01,8.577096443107159462e-01
-4.137758505670447633e-04,8.631671631113968512e-01,8.584226260999966440e-01
-4.127751834556371200e-04,8.639022870008807864e-01,8.591290085562611756e-01
-4.117745163442295309e-04,8.646033704832868372e-01,8.598460429206323807e-01
-4.107738492328219418e-04,8.652878913310045883e-01,8.605568957352065507e-01
-4.097731821214142985e-04,8.659591921182100416e-01,8.612680122498053148e-01
-4.087725150100067094e-04,8.666499500736584150e-01,8.619971022335443100e-01
-4.077718478985991202e-04,8.673237411684332487e-01,8.627378618162893087e-01
-4.067711807871915311e-04,8.680249439565587144e-01,8.634888474658525270e-01
-4.057705136757838878e-04,8.687121995123342488e-01,8.642362046417045862e-01
-4.047698465643762987e-04,8.693906902485948329e-01,8.649815138415776206e-01
-4.037691794529687096e-04,8.700744723857239959e-01,8.657379014973070053e-01
-4.027685123415610663e-04,8.707714922118614531e-01,8.664876116931504724e-01
-4.017678452301534772e-04,8.714440746479595878e-01,8.672461931571154858e-01
-4.007671781187458881e-04,8.721285074580118479e-01,8.680125384918938591e-01
-3.997665110073382448e-04,8.728143961938000794e-01,8.687867862231063443e-01
-3.987658438959306557e-04,8.735039865573602791e-01,8.695613926215214340e-01
-3.977651767845230666e-04,8.741751910993140751e-01,8.703323376174144643e-01
-3.967645096731154774e-04,8.748694643309624652e-01,8.710802892650055806e-01
-3.957638425617078341e-04,8.755475323679103861e-01,8.718390321938105370e-01
-3.947631754503002450e-04,8.762146013395408772e-01,8.726215073007206335e-01
-3.937625083388926559e-04,8.768695553419734168e-01,8.733779319171811606e-01
-3.927618412274850126e-04,8.775259228394903799e-01,8.741482962035947990e-01
-3.917611741160774235e-04,8.781754438883829783e-01,8.749049068605038171e-01
-3.907605070046698344e-04,8.788276930538252429e-01,8.756856716959020570e-01
-3.897598398932622453e-04,8.795049599609120472e-01,8.764614345625266756e-01
-3.887591727818546020e-04,8.801805244463121181e-01,8.772226402259020173e-01
-3.877585056704470129e-04,8.808402726754910317e-01,8.779935600550374808e-01
-3.867578385590394238e-04,8.815045406129884409e-01,8.787485998582877933e-01
-3.857571714476317804e-04,8.821694657173210219e-01,8.795045654833087978e-01
-3.847565043362241913e-04,8.828073644486083005e-01,8.802682943409059213e-01
-3.837558372248166022e-04,8.834294042226592536e-01,8.810220454740779195e-01
-3.827551701134089589e-04,8.840664633979153919e-01,8.817829373294593376e-01
-3.817545030020013698e-04,8.846831013312820291e-01,8.825299227716044692e-01
-3.807538358905937807e-04,8.853129762482282450e-01,8.832847967416689317e-01
-3.797531687791861916e-04,8.859514874023399766e-01,8.840333761999439321e-01
-3.787525016677785483e-04,8.866014663365401338e-01,8.847774640379191258e-01
-3.777518345563709592e-04,8.872737218853076202e-01,8.855257229580539846e-01
-3.767511674449633701e-04,8.879542297916025451e-01,8.862781025757177078e-01
-3.757505003335557267e-04,8.886443203156806359e-01,8.870231028979144172e-01
-3.747498332221481376e-04,8.893321002230162309e-01,8.877752631314770326e-01
